,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
10,139,10.952625494530574,False,155.58951756117264,1.0,True,True,False,False,False,False,139,139,-1,1,0,0.4798913615089621,11,6600,1010,1
11,301,10.311948653792122,False,315.18593867644483,1.0,False,False,True,False,False,False,-1,-1,301,0,1,0.8951295777760144,12,6600,1011,1
12,103,11.231267287339454,False,118.98037023314404,1.0,True,True,False,False,False,False,103,103,-1,1,0,0.3231153695347603,13,6600,1012,1
13,229,10.402103500941749,False,245.0582794169046,1.0,True,True,False,False,False,False,229,229,-1,1,0,0.7142556327223339,14,6600,1013,1
14,214,11.784336732222085,True,262.1857441176375,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9796952177037863,15,6600,1014,1
15,132,11.162354606605248,False,151.36847494316626,1.0,True,True,False,False,False,False,132,132,-1,1,0,0.2648555404998771,16,6600,1015,1
16,263,11.352815219779638,True,311.80314443538947,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9864633217658142,17,6600,1016,1
17,265,12.498731316346142,True,345.7989741291188,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986412140633646,18,6600,1017,1
18,333,12.590509535922976,True,438.175792360799,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9891437117710464,19,6600,1018,1
19,234,11.944479037877068,False,290.9842376883068,1.0,True,True,False,False,False,False,234,234,-1,1,0,0.9610242162584233,20,6600,1019,1
20,221,10.815132211564576,True,248.17101985624527,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9813548943261765,21,6600,1020,1
21,228,14.43905182409652,False,341.32446807742576,1.0,True,True,False,False,False,False,228,228,-1,1,0,0.8676747820292642,22,6600,1021,1
22,278,14.458939117595335,True,418.64852076050266,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9883724481638859,23,6600,1022,1
23,122,10.946354614680734,False,138.25788996237924,1.0,False,False,True,False,False,False,-1,-1,122,0,1,0.45039909695640384,24,6600,1023,1
24,324,15.202023792826813,True,511.7445494112849,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9906816625480445,25,6600,1024,1
25,205,11.934981281804207,True,255.05535393778644,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9833333940314637,26,6600,1025,1
26,160,12.626899919607157,False,207.4218685674646,1.0,False,False,True,False,False,False,-1,-1,160,0,1,0.43302183243957665,27,6600,1026,1
27,263,12.720814553646619,True,346.87562754776604,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.985872752948286,28,6600,1027,1
28,188,11.966104369870129,True,233.5181110910634,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9772300667242598,29,6600,1028,1
29,207,12.601038548482375,True,272.23626705694693,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9841390754877964,30,6600,1029,1
30,264,11.331856191257708,True,312.626020353744,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9869697327865958,31,6600,1030,1
31,320,14.062311227871456,True,464.1177169118016,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9908914995561949,32,6600,1031,1
32,137,11.352099058702652,False,160.29220717475968,1.0,False,False,True,False,False,False,-1,-1,137,0,1,0.5491719491773965,33,6600,1032,1
33,184,13.732975145806552,False,261.17152196803437,1.0,False,False,True,False,False,False,-1,-1,184,0,1,0.703982137814161,34,6600,1033,1
34,179,9.96556570717992,False,182.14758867774677,1.0,False,False,True,False,False,False,-1,-1,179,0,1,0.3308498540739806,35,6600,1034,1
35,279,13.21862773480522,True,382.44496116270136,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9870125406476425,36,6600,1035,1
36,221,12.273165695834168,True,279.7630064269888,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9830652632509133,37,6600,1036,1
37,251,13.33812597873662,True,348.5956435134672,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9876957497452016,38,6600,1037,1
38,203,12.833397909230483,False,267.7978665817387,1.0,False,False,True,False,False,False,-1,-1,203,0,1,0.6487359907052479,39,6600,1038,1
39,245,12.32168035961716,True,313.0734660004894,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9834587936891143,40,6600,1039,1
